Car_Type,Car_Year,Fuel_Type,Transmission,Price
Nissan Navara,2009 -,Diesel -,Manual,"KSh1,000,000"
Mercedes-Benz E250,2003 -,Petrol -,Automatic,"KSh1,000,000"
Toyota Ractis,2011 -,Petrol -,Automatic,"KSh1,000,000"
Mazda Axela,2011 -,Petrol -,Automatic,"KSh1,000,000"
Toyota Rumion,2011 -,Petrol -,Automatic,"KSh1,000,000"
Honda Insight,2011 -,Petrol -,Automatic,"KSh1,000,000"
Nissan Dualis,2011 -,Petrol -,Automatic,"KSh1,000,000"
Toyota Passo,2011 -,Petrol -,Automatic,"KSh1,000,000"
Nissan Teana,2009 -,Petrol -,Automatic,"KSh1,000,000"
Nissan Lafesta,2011 -,Petrol -,Automatic,"KSh1,020,000"
Nissan Lafesta,2011 -,Petrol -,Automatic,"KSh1,020,000"
Honda CR-Z,2011 -,Hybrid -,Automatic,"KSh1,030,000"
Toyota IST,2011 -,Petrol -,Automatic,"KSh1,030,000"
Toyota Rumion,2011 -,Petrol -,Automatic,"KSh1,030,000"
Toyota Rumion,2011 -,Petrol -,Automatic,"KSh1,040,000"
Honda Insight,2011 -,Hybrid -,Automatic,"KSh1,050,000"
Honda Insight Hybrid,2011 -,Hybrid -,Automatic,"KSh1,050,000"
Toyota Land Cruiser Prado,2000 -,Petrol -,Automatic,"KSh1,050,000"
Suzuki Grand Vitara 1.6,2003 -,Petrol -,Automatic,"KSh1,050,000"
Honda CR-Z,2010 -,Petrol -,Automatic,"KSh1,050,000"
Toyota Axio,2010 -,Petrol -,Automatic,"KSh1,050,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,050,000"
Mazda Axela,2011 -,Petrol -,Automatic,"KSh1,050,000"
Subaru Impreza 2.0 Wagon,2011 -,Petrol -,Automatic,"KSh1,050,000"
Honda Stream 1.7 VTEC,2011 -,Petrol -,Automatic,"KSh1,050,000"
Honda Stream 1.7 VTEC,2011 -,Petrol -,Automatic,"KSh1,050,000"
Toyota Axio,2011 -,Petrol -,Automatic,"KSh1,050,000"
Honda Stream 1.7 VTEC,2011 -,Petrol -,Automatic,"KSh1,050,000"
Toyota Rumion,2011 -,Petrol -,Automatic,"KSh1,050,000"
Honda Stream,2011 -,Petrol -,Automatic,"KSh1,050,000"
Nissan Bluebird,2011 -,Petrol -,Automatic,"KSh1,050,000"
Toyota Ractis,2011 -,Petrol -,Automatic,"KSh1,050,000"
Honda Insight,2011 -,Petrol -,Automatic,"KSh1,050,000"
Toyota ISIS,2011 -,Petrol -,Automatic,"KSh1,050,000"
Toyota Axio,2012 -,Petrol -,Manual,"KSh1,050,000"
Subaru Legacy 2.0,2007 -,Petrol -,Automatic,"KSh1,050,000"
Nissan Bluebird,2010 -,Petrol -,Automatic,"KSh1,050,000"
Subaru Impreza,2011 -,Petrol -,Automatic,"KSh1,050,000"
Mercedes-Benz A180,2011 -,Petrol -,Automatic,"KSh1,050,000"
Toyota Sienta,2012 -,Petrol -,Automatic,"KSh1,060,000"
Toyota Auris 1.3 3,2017 -,Petrol -,Automatic,"KSh1,060,000"
Toyota Crown Automatic,2008 -,Petrol -,Automatic,"KSh1,070,000"
Mazda Axela,2011 -,Petrol -,Automatic,"KSh1,070,000"
Mazda Axela,2011 -,Petrol -,Automatic,"KSh1,070,000"
Mazda Axela,2011 -,Petrol -,Automatic,"KSh1,070,000"
Toyota Hilux,2006 -,Diesel -,Manual,"KSh1,080,000"
Toyota ISIS,2009 -,Petrol -,Automatic,"KSh1,080,000"
Honda Freed,2010 -,Petrol -,Automatic,"KSh1,080,000"
Toyota Axio,2010 -,Petrol -,Automatic,"KSh1,080,000"
Toyota ISIS,2011 -,Petrol -,Automatic,"KSh1,080,000"
Nissan Lafesta,2011 -,Petrol -,Automatic,"KSh1,080,000"
Subaru Impreza 2.0 Wagon,2011 -,Petrol -,Automatic,"KSh1,080,000"
Subaru Impreza 2.0 Wagon,2011 -,Petrol -,Automatic,"KSh1,080,000"
Toyota Axio,2011 -,Petrol -,Automatic,"KSh1,080,000"
Honda Fit Automatic,2011 -,Petrol -,Automatic,"KSh1,080,000"
Toyota Harrier,2003 -,Petrol -,Automatic,"KSh1,080,000"
Toyota Premio,2008 -,Petrol -,Automatic,"KSh1,080,000"
Toyota Axio,2011 -,Petrol -,Automatic,"KSh1,080,000"
Honda Fit Shuttle,2011 -,Petrol -,Automatic,"KSh1,085,000"
Mitsubishi Galant Fortis,2010 -,Petrol -,Automatic,"KSh1,090,000"
Volkswagen Golf 2.0 GTi Turbo DSG,2008 -,Petrol -,Automatic,"KSh1,090,000"
Mazda Premacy 2.0 TD Exclusive,2011 -,Petrol -,Automatic,"KSh1,090,000"
Mazda Premacy 2.0 TD Exclusive,2011 -,Petrol -,Automatic,"KSh1,090,000"
Nissan Hardbody,2007 -,Diesel -,Manual,"KSh1,100,000"
Toyota RAV4 1.8,2006 -,Petrol -,Automatic,"KSh1,100,000"
Nissan Dualis,2008 -,Petrol -,Automatic,"KSh1,100,000"
Honda CR-Z,2010 -,Petrol -,Automatic,"KSh1,100,000"
Toyota Axio,2010 -,Petrol -,Automatic,"KSh1,100,000"
Toyota Axio,2010 -,Petrol -,Automatic,"KSh1,100,000"
Toyota Auris,2011 -,Petrol -,Automatic,"KSh1,100,000"
Toyota ISIS,2011 -,Petrol -,Automatic,"KSh1,100,000"
Subaru Impreza 2.0 Wagon,2011 -,Petrol -,Automatic,"KSh1,100,000"
Nissan Teana,2011 -,Petrol -,Automatic,"KSh1,100,000"
